state,action,reward,total
0,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,2,2
0,1,0,2
5,1,0,2
6,1,0,2
7,1,0,2
8,1,2,4
0,1,0,4
5,1,0,4
6,1,0,4
7,1,0,4
8,0,2,6
0,1,0,6
5,1,0,6
6,1,0,6
7,1,0,6
8,1,2,8
0,0,0,8
1,0,0,8
2,0,0,8
3,0,0,8
4,0,1,9
0,0,0,9
1,1,0,9
2,0,0,9
3,0,0,9
4,0,1,10
0,0,0,10
1,1,0,10
2,1,0,10
3,1,0,10
4,1,1,11
0,1,0,11
5,1,0,11
6,1,0,11
7,1,0,11
8,0,2,13
0,1,0,13
5,1,0,13
6,1,0,13
7,1,0,13
8,1,2,15
0,0,0,15
1,0,0,15
2,1,0,15
3,1,0,15
4,1,1,16
0,1,0,16
5,1,0,16
6,1,0,16
7,1,0,16
8,1,2,18
0,0,0,18
1,0,0,18
2,0,0,18
3,0,0,18
4,0,1,19
0,1,0,19
5,0,0,19
0,0,0,19
1,0,0,19
2,0,0,19
3,0,0,19
4,1,1,20
0,0,0,20
1,0,0,20
2,0,0,20
3,0,0,20
4,0,1,21
0,0,0,21
1,0,0,21
2,0,0,21
3,0,0,21
4,1,1,22
0,1,0,22
5,1,0,22
6,1,0,22
7,1,0,22
8,1,2,24
0,1,0,24
5,1,0,24
6,1,0,24
7,1,0,24
8,0,2,26
0,1,0,26
5,0,0,26
0,1,0,26
5,1,0,26
6,0,0,26
0,1,0,26
5,1,0,26
6,1,0,26
7,0,0,26
0,1,0,26
5,1,0,26
6,1,0,26
7,1,0,26
8,0,2,28
0,1,0,28
5,1,0,28
6,1,0,28
7,1,0,28
8,1,2,30
0,0,0,30
1,0,0,30
2,0,0,30
3,0,0,30
4,1,1,31
0,1,0,31
5,1,0,31
6,1,0,31
7,1,0,31
8,1,2,33
0,1,0,33
5,1,0,33
6,1,0,33
7,1,0,33
8,1,2,35
0,0,0,35
1,0,0,35
2,0,0,35
3,0,0,35
4,0,1,36
0,1,0,36
5,1,0,36
6,1,0,36
7,1,0,36
8,0,2,38
0,1,0,38
5,1,0,38
6,0,0,38
0,1,0,38
5,0,0,38
0,1,0,38
5,0,0,38
0,0,0,38
1,0,0,38
2,1,0,38
3,0,0,38
4,1,1,39
0,0,0,39
1,0,0,39
2,0,0,39
3,0,0,39
4,0,1,40
0,0,0,40
1,1,0,40
2,0,0,40
3,1,0,40
4,0,1,41
0,1,0,41
5,0,0,41
0,1,0,41
5,0,0,41
0,1,0,41
5,0,0,41
0,0,0,41
1,0,0,41
2,0,0,41
3,0,0,41
4,0,1,42
0,0,0,42
1,1,0,42
2,1,0,42
3,1,0,42
4,1,1,43
0,1,0,43
5,1,0,43
6,1,0,43
7,1,0,43
8,1,2,45
0,0,0,45
1,1,0,45
2,1,0,45
3,1,0,45
4,1,1,46
0,1,0,46
5,1,0,46
6,1,0,46
7,0,0,46
0,1,0,46
5,1,0,46
6,1,0,46
7,1,0,46
8,0,2,48
0,1,0,48
5,1,0,48
6,1,0,48
7,1,0,48
8,0,2,50
0,1,0,50
5,1,0,50
6,1,0,50
7,1,0,50
8,0,2,52
0,0,0,52
1,0,0,52
2,0,0,52
3,0,0,52
4,1,1,53
0,0,0,53
1,0,0,53
2,0,0,53
3,0,0,53
4,0,1,54
0,0,0,54
1,1,0,54
2,1,0,54
3,1,0,54
4,1,1,55
0,1,0,55
5,1,0,55
6,1,0,55
7,1,0,55
8,0,2,57
0,1,0,57
5,1,0,57
6,1,0,57
7,1,0,57
8,1,2,59
0,1,0,59
5,1,0,59
6,1,0,59
7,1,0,59
8,0,2,61
0,1,0,61
5,1,0,61
6,0,0,61
0,1,0,61
5,1,0,61
6,1,0,61
7,1,0,61
8,1,2,63
0,0,0,63
1,0,0,63
2,0,0,63
3,0,0,63
4,0,1,64
0,0,0,64
1,0,0,64
2,1,0,64
3,1,0,64
4,1,1,65
0,1,0,65
5,1,0,65
6,1,0,65
7,1,0,65
8,0,2,67
0,1,0,67
5,1,0,67
6,1,0,67
7,1,0,67
8,1,2,69
0,0,0,69
1,1,0,69
2,0,0,69
3,1,0,69
4,0,1,70
0,1,0,70
5,0,0,70
0,1,0,70
5,1,0,70
6,1,0,70
7,1,0,70
8,1,2,72
0,0,0,72
1,1,0,72
2,0,0,72
3,1,0,72
4,0,1,73
0,1,0,73
5,1,0,73
6,1,0,73
7,1,0,73
8,1,2,75
0,0,0,75
1,1,0,75
2,0,0,75
3,1,0,75
4,1,1,76
0,0,0,76
1,1,0,76
2,0,0,76
3,1,0,76
4,1,1,77
0,1,0,77
5,1,0,77
6,1,0,77
7,1,0,77
8,1,2,79
0,0,0,79
1,0,0,79
2,1,0,79
3,0,0,79
4,0,1,80
0,1,0,80
5,0,0,80
